round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
Second,Roger Federer,6-2 6-3 6-2,2010,m,Roger Federer,Victor Hanescu,SUI,ROU,67%,70%,8,3,1,1,82%,56%,63%,46%,204,203,192,189,153,159,45%,0%,47%,24%,96,64,52,20,18,26,81%,62%
First,Roger Federer,4-6 6-2 7-6(2) 6-0,2010,m,Roger Federer,Igor Andreev,SUI,RUS,58%,63%,9,2,3,7,75%,56%,51%,37%,204,208,181,184,153,140,47%,45%,48%,34%,135,103,29,26,38,55,74%,59%
quarter,Roger Federer,6-1 6-3 6-3,2011,m,Roger Federer,Stanislas Wawrinka,SUI,SUI,77%,58%,5,1,0,0,72%,57%,76%,56%,207,214,188,184,156,144,71%,0%,43%,27%,90,66,29,21,24,30,63%,48%
Fourth,Roger Federer,6-3 3-6 6-3 6-2,2011,m,Roger Federer,Tommy Robredo,SUI,ESP,69%,62%,10,6,1,1,79%,72%,61%,49%,203,205,184,176,149,142,40%,50%,37%,27%,117,97,50,28,40,21,72%,58%
Third,Roger Federer,6-3 6-3 6-1,2011,m,Roger Federer,Xavier Malisse,SUI,BEL,64%,60%,6,4,1,2,66%,53%,57%,35%,204,199,179,184,153,135,41%,67%,53%,37%,98,70,36,16,36,30,68%,58%
Second,Roger Federer,6-2 6-3 4-6 4-6 6-3,2011,m,Roger Federer,Gilles Simon,SUI,FRA,61%,57%,11,9,1,5,79%,56%,43%,55%,208,200,188,177,153,138,44%,56%,43%,35%,151,130,51,44,53,40,72%,44%
First,Roger Federer,6-1 6-1 6-3,2011,m,Roger Federer,Lukas Lacko,SUI,SVK,64%,67%,8,3,1,1,87%,59%,67%,22%,206,202,183,186,151,149,50%,100%,52%,20%,91,51,37,11,18,27,80%,50%
quarter,Roger Federer,6-4 6-3 6-2,2012,m,Roger Federer,Juan Martin Del Potro,SUI,ARG,57%,67%,5,5,1,3,89%,57%,58%,55%,200,207,180,192,151,151,63%,17%,44%,25%,96,68,38,20,22,27,75%,73%
Fourth,Roger Federer,6-4 6-2 6-2,2012,m,Roger Federer,Bernard Tomic,SUI,AUS,58%,75%,13,0,3,2,84%,56%,56%,38%,206,196,188,174,153,137,60%,20%,48%,28%,101,70,45,13,28,32,76%,38%
Third,Roger Federer,7-6(6) 7-5 6-3,2012,m,Roger Federer,Ivo Karlovic,SUI,CRO,62%,71%,9,15,0,3,80%,76%,74%,34%,203,211,182,199,150,169,33%,0%,36%,22%,120,98,55,40,13,35,69%,52%
First,Roger Federer,7-5 6-2 6-2,2012,m,Roger Federer,Alexander Kudryavtsev,SUI,RUS,63%,42%,14,4,2,4,80%,65%,56%,40%,207,209,181,195,NULL,NULL,46%,25%,49%,29%,106,70,43,21,33,42,44%,67%
quarter,Roger Federer,7-6(4) 4-6 7-6(4) 3-6 6-3,2013,m,Roger Federer,Jo-Wilfried Tsonga,SUI,FRA,61%,67%,6,20,3,1,77%,75%,56%,47%,207,218,189,194,156,147,22%,56%,34%,31%,169,164,49,66,47,61,72%,66%
Fourth,Roger Federer,6-4 7-6(4) 6-2,2013,m,Roger Federer,Milos Raonic,SUI,CAN,64%,67%,14,19,1,5,90%,70%,75%,50%,207,233,189,207,155,165,43%,-,36%,15%,101,73,34,37,12,41,93%,60%
Third,Roger Federer,6-4 7-6(5) 6-1,2013,m,Roger Federer,Bernard Tomic,SUI,AUS,69%,69%,11,8,4,2,88%,67%,45%,42%,207,211,187,189,156,151,19%,0%,40%,25%,120,96,46,42,20,41,87%,77%
